year(hdr_startdate)	hdr_billingprovidercode	count(DISTINCT hdr_recordnumber)	count(DISTINCT dtl_procedurecode)	sum(dtl_paidamount)
2025	1023101060	4	1	89
2025	1376573113	2	1	36
2025	1467811331	1	1	23
2025	1851056204	1	1	0
2024	1467811331	34	3	1,241,092
2024	1447996996	31	1	1,064,210
2024	1366750325	3	1	36,823
2024	1104818418	1	1	10,255
2024	1578008827	1	1	4,704
2024	1528203338	10	4	591
2024	1376573113	2	1	70
2024	1306846654	6	3	54
2024	1669993218	1	1	37
2024	1023101060	1	1	26
2024	1710295639	1	1	18
2024	1285734418	1	1	8
2024	1952471807	5	1	0
2024	1225158470	3	3	0
2024	1790215192	1	1	0
2024	1013557727	1	1	0
2024	1235674912	1	1	0
2024	1619175031	1	1	0
2024	1629174446	1	1	0
2023	1003888298	9	2	118,227
2023	1851915623	9	1	77,459
2023	1578008827	4	1	18,816
2023	1730363748	10	1	11,562
2023	1528203338	80	6	6,386
2023	1366750325	1	1	2,459
2023	1689106767	5	3	116
2023	1306846654	23	4	113
2023	1376506691	5	3	46
2023	1003164211	2	3	21
2023	1326211509	1	1	18
2023	1164432746	1	1	17
2023	1700821618	1	1	13
2023	1780016774	1	1	11
2023	1285734418	2	1	8
2023	1952471807	1	1	0
2023	1851056204	3	4	0
2023	1689343600	2	1	0
2023	1235674912	1	1	0
2022	1003888298	28	1	1,133,586
2022	1104440981	13	7	211,440
2022	1407812993	6	2	30,182
2022	1720541402	9	3	20,026
2022	1851915623	1	1	11,917
2022	1528203338	104	5	9,784
2022	1619175031	2	1	1,975
2022	1689106767	3	2	184
2022	1306846654	15	5	118
2022	1548305923	1	1	36
2022	1285734418	2	1	15
2022	1710295639	1	1	11
2022	1225158470	3	4	0
2022	1992071476	7	1	0
2022	1578008827	2	1	0
2022	1265665681	2	1	0
2022	1023101060	2	1	0
2021	1265665681	32	3	98,908
2021	1205345485	12	3	46,891
2021	1982264339	8	2	19,776
2021	1336400704	3	1	13,500
2021	1235445073	3	1	9,888
2021	1528203338	93	6	9,077
2021	1154732907	4	1	8,240
2021	1649471467	1	1	4,784
2021	1578008827	3	2	4,245
2021	1992071476	12	4	4,123
2021	1720541402	6	2	3,943
2021	1013394766	1	1	3,053
2021	1689106767	7	1	255
2021	1669993218	24	5	184
2021	1306846654	17	4	176
2021	1518943364	2	1	52
2021	1285734418	4	1	14
2021	1225158470	2	2	12
2021	1164432746	3	3	12
2021	1326211509	1	1	7
2021	1629174446	3	2	0
2021	1326074055	1	1	0
2021	1003888298	2	1	0
2021	1114386174	9	1	0
2021	1225260334	1	1	0
2021	1558706549	1	1	0
2021	1588992853	6	1	0
2021	1235674912	1	1	0
2021	1710036496	1	1	0
2021	1790881746	3	2	0
2021	1568743375	1	1	0
2021	1003164211	1	1	0
2021	1033475330	2	1	0
2020	1992071476	243	3	186,886
2020	1730363748	4	1	12,211
2020	1528203338	92	6	7,906
2020	1982264339	2	1	6,592
2020	1720541402	2	1	5,040
2020	1578008827	1	1	4,236
2020	1518943364	5	2	3,101
2020	1205345485	1	1	1,271
2020	1689106767	5	2	232
2020	1811088578	1	1	153
2020	1306846654	12	4	99
2020	1093742389	1	1	67
2020	1164432746	3	1	46
2020	1457752610	2	1	0
2020	1558706549	8	2	0
2020	1346507514	2	4	0
2020	1669993218	18	1	0
2020	1548722127	2	1	0
2020	1003888298	1	1	0
2020	1518176916	1	1	0
2020	1508879941	4	1	0
2020	1033475330	1	1	0
2020	1790881746	1	1	0
2020	1235674912	6	2	0
2020	1629174446	1	1	0
2020	1235445073	1	1	0
2020	1720090525	1	1	0
2020	1659392736	4	1	0
2020	1609224161	1	1	0
2020	1366750325	1	2	0
2020	1023101060	1	1	0
2020	1508297854	1	1	0
2020	1073707048	1	1	0
2019	1992071476	190	3	141,116
2019	1528578499	7	1	45,798
2019	1578008827	4	2	12,344
2019	1528203338	104	6	7,953
2019	1619175031	2	1	1,255
2019	1306846654	27	6	360
2019	1689106767	8	3	325
2019	1093742389	5	2	133
2019	1518943364	4	2	100
2019	1285734418	3	1	21
2019	1780016774	2	2	12
2019	1225158470	2	3	10
2019	1164432746	1	1	10
2019	1376506691	1	1	3
2019	1003164211	1	1	2
2019	1558706549	1	1	2
2019	1326074055	3	1	0
2019	1669993218	9	1	0
2019	1942227632	1	1	0
2019	1629174446	1	1	0
2019	1649471467	1	1	0
2019	1003888298	5	1	0
2019	1790839140	1	1	0
2019	1194778373	1	1	0
2018	1992071476	269	3	388,088
2018	1528578499	2	1	12,791
2018	1578008827	2	1	9,139
2018	1528203338	102	6	7,460
2018	1093069601	1	1	1,568
2018	1306846654	18	5	235
2018	1558897439	2	1	130
2018	1689106767	2	2	101
2018	1093742389	3	1	97
2018	1205345485	1	1	32
2018	1265665681	2	1	31
2018	1326211509	1	1	15
2018	1225158470	2	3	15
2018	1376506691	4	3	13
2018	1710295639	1	1	7
2018	1558706549	5	3	2
2018	1518943364	1	1	1
2018	1164432746	3	2	0
2018	1235445073	10	1	0
2018	1174818314	1	1	0
2018	1790881746	4	3	0
2018	1508297854	2	1	0
2018	1942227632	1	1	0
2018	1669993218	3	1	0
2018	1629174446	2	3	0
2017	1992071476	75	1	76,620
2017	1528203338	103	7	7,354
2017	1457752610	1	1	5,841
2017	1689106767	10	5	382
2017	1093742389	5	1	262
2017	1306846654	17	10	233
2017	1104958933	3	1	97
2017	1619175031	1	1	64
2017	1518943364	5	2	30
2017	1285734418	5	2	27
2017	1225158470	2	6	20
2017	1265665681	1	1	15
2017	1558706549	6	4	7
2017	1447244256	8	2	0
2017	1174818314	1	1	0
2017	1629174446	1	3	0
2017	1003164211	2	1	0
2017	1790881746	4	2	0
2017	1780016774	1	1	0
2017	1316031933	3	1	0
2017	1710295639	1	1	0
2017	1942410907	2	1	0
2017	1730270224	1	1	0
2017	1942227632	1	1	0
2017	1326230830	1	1	0
2017	1750435905	1	1	0
2017	1508297854	1	1	0
2016	1528203338	72	6	8,051
2016	1538417001	1	1	6,282
2016	1730363748	2	1	2,153
2016	1093742389	10	1	638
2016	1306846654	31	9	629
2016	1992071476	2	2	92
2016	1518943364	13	3	41
2016	1225260334	1	1	19
2016	1326211509	1	1	15
2016	1265665681	1	1	11
2016	1225158470	7	5	8
2016	1376573113	1	1	8
2016	1194778373	2	2	0
2016	1558706549	1	1	0
2016	1790881746	3	1	0
2016	1841694577	2	4	0
2016	1538343439	11	3	0
2016	1447244256	10	4	0
2016	1174818314	4	1	0
2016	1750435905	2	1	0
2016	1780016774	2	2	0
2016	1154732907	1	1	0
2016	1235445073	1	1	0
